"Time";"rain-rate";"snow-depth";"air-temp";"concrete-temp";"grass-temp"
"2024-01-08T00:00:00+00:00";0;0.36;-0.39674;-0.46326;-0.5008
"2024-01-08T00:01:00+00:00";0;null;-0.39091;-0.47812;-0.5101
"2024-01-08T00:02:00+00:00";0;0.36;-0.38757;-0.4827;-0.50751
"2024-01-08T00:03:00+00:00";0;0.365;-0.38158;-0.47795;-0.49851
"2024-01-08T00:04:00+00:00";0;0.36;-0.37682;-0.47021;-0.48488
"2024-01-08T00:05:00+00:00";0;0.36;-0.37758;-0.46031;-0.47089
"2024-01-08T00:06:00+00:00";0;0.355;-0.37867;-0.44899;-0.46528
"2024-01-08T00:07:00+00:00";0;0.36;-0.38229;-0.43738;-0.45741
"2024-01-08T00:08:00+00:00";0;0.35;-0.38966;-0.43631;-0.45691
"2024-01-08T00:09:00+00:00";0;0.355;-0.39928;-0.44537;-0.47217
"2024-01-08T00:10:00+00:00";0;0.355;-0.4068;-0.45365;-0.48492
"2024-01-08T00:11:00+00:00";0;0.355;-0.45069;-0.46219;-0.49485
"2024-01-08T00:12:00+00:00";0;0.36;-0.47834;-0.48147;-0.52515
"2024-01-08T00:13:00+00:00";0;0.35;-0.48253;-0.49607;-0.54464
"2024-01-08T00:14:00+00:00";0;0.355;-0.48552;-0.50289;-0.55789
"2024-01-08T00:15:00+00:00";0;0.305;-0.49125;-0.50299;-0.56677
"2024-01-08T00:16:00+00:00";0;0.275;-0.49754;-0.49734;-0.56377
"2024-01-08T00:17:00+00:00";0;0.32;-0.50915;-0.48913;-0.55803
"2024-01-08T00:18:00+00:00";0;0.34;-0.51821;-0.48523;-0.55749
"2024-01-08T00:19:00+00:00";0;0.345;-0.5242;-0.48091;-0.55531
"2024-01-08T00:20:00+00:00";0;0.34;-0.52854;-0.47167;-0.54771
"2024-01-08T00:21:00+00:00";0;0.35;-0.52789;-0.46114;-0.53937
"2024-01-08T00:22:00+00:00";0;0.335;-0.51947;-0.45494;-0.53159
"2024-01-08T00:23:00+00:00";0;0.345;-0.51412;-0.45015;-0.52539
"2024-01-08T00:24:00+00:00";0;0.355;-0.51214;-0.4533;-0.52574
"2024-01-08T00:25:00+00:00";0;0.345;-0.51155;-0.46428;-0.53266
